Title,(1980s),(1990s),(2000s),(2010s),(2020s),Pop,Rock,Counrty,Folk,Dance,Grunge,Love,Metal,Classic,Funk,Electric,Acoustic,Indie,Jazz,SoundTrack,Rap
Immigrant Song,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wonderwall,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enter Sandman,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lazarus,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stressed Out,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dream On,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Highway to Hell,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Photograph,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hills,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Take Me to Church,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bitter Sweet Symphony,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pumped Up Kicks,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heathens,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demons,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teardrop,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Magic,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faded,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Less I Know the Better,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kashmir,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Time,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chop Suey!,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sorry,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Whole Lotta Love,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Under the Bridge,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starboy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
November Rain,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hey You,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Trains,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royals,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Losing My Religion,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Money,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Closer,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Paranoid Android,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burn the Witch,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortunate Son,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cake By The Ocean,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Feel Good Inc.,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Paradise City,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Somewhere I Belong,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sweet Home Alabama,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
What Do You Mean?,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Surprises,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paranoid,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Chandelier,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mr. Brightside,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chasing Cars,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Someone Like You,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midnight City,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Riptide,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Us and Them,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
High Hopes,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Somebody That I Used To Know,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Iris,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Black Hole Sun,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HUMBLE.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Get Lucky (feat. Pharrell Williams),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Papercut,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ride,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawling,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arriving Somewhere but Not Here,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Baba O'Riley,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wake Me Up,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
One Dance,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What I've Done,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alive,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Stop Believin',0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eye of the Tiger,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Instant Crush (feat. Julian Casablancas),0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Zombie,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sound of Silence,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ramble On,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Pretender,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stitches,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breezeblocks,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holocene,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Speed of Sound,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faint,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Like a Rolling Stone,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Don't Let Me Down,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Black Dog,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Up and Dance,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sex on Fire,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You Shook Me All Night Long,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 Years,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skinny Love,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
High and Dry,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Step Closer,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Everlong,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Bird,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let It Go,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Welcome to the Jungle,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scar Tissue,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bring Me to Life,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breaking the Habit,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sugar (feat. Francesco Yates),0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
With or Without You,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lush Life,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treat You Better,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Times Bad Times,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let It Happen,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Send My Love (To Your New Lover),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kryptonite,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feel It Still,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunder,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lose Yourself to Dance (feat. Pharrell Williams),0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Believer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pompeii,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master of Puppets,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
In My Place,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light My Fire,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Reason,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daydreaming,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fake Plastic Trees,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
She Will Be Loved,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Great Gig in the Sky,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Everglow,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riders on the Storm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackest Eyes,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Uptown Funk,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
How to Save a Life,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocaine,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love Yourself,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trouble,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Like a Stone,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Don't Panic,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coming Back to Life,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Unforgiven,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I Took A Pill In Ibiza - SeeB Remix,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
I'm Yours,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
All Along the Watchtower,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carnival of Rust,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We Don't Talk Anymore (feat. Selena Gomez),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ho Hey,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Heart-Shaped Box,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
All of Me,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gimme Shelter,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunderstruck,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Happy,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
More Than a Feeling,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Smoke on the Water,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brain Damage,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renegades,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R U Mine?,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feels Like We Only Go Backwards,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Can't Stop The Feeling! (Original Song From Dreamworks Animation's ""Trolls"")",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wake Me Up When September Ends,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snow (Hey Oh),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stay with Me,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Up&Up,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Break on Through (to the Other Side),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paris,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Can't Stop,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Here Without You,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Budapest,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dani California,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Every Teardrop Is a Waterfall,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lithium,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The House of the Rising Sun,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Going to California,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castle On the Hill,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gold,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Otherside,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
When the Levee Breaks,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark Necessities,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Use Somebody,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stronger,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Attention,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another One Bites the Dust,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You're Beautiful,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Set Fire to the Rain,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killing in the Name,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Even Flow,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Heartbeats,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Violet Hill,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On My Mind,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Where Is My Mind?,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This Is What You Came For,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
How Deep is your love,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
One,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Beautiful Day,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Summer of '69,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babe I'm Gonna Leave You,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Head Full of Dreams,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tessellate,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Man Who Sold the World,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Work,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Sound of Muzak,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24K Magic,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Little Talks,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Paper Planes,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Hey, Soul Sister",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock and Roll,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Panda,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ophelia,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Crystalised,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Say You Won't Let Go,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonely Boy,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sympathy for the Devil,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jeremy,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Let Me Love You,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Awake,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Titanium (feat. Sia),0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Knockin' on Heaven's Door,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Take on Me,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animals,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Every Breath You Take,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
woRK frOm HoMe,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livin' on a Prayer,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perfect,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Want To Want Me,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Idiot,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Time,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunset Lover,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Take Me Out,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hurt,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Eclipse,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Everything in Its Right Place,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Somewhere Only We Know,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Paint It Black,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Diary of Jane,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maps,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PILLOWTALK,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockabye (feat. Sean Paul & Anne-Marie),0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
The Cave,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Toxicity,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Billie Jean,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Drive,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Redbone,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Blowin' in the Wind,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Something Just Like This,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Purple Haze,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Will Follow You Into The Dark,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Home,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
